step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,0,0.0,0.0,0,0
16.0,0,0.0,0.0,0,0
17.0,0,0.0,0.0,0,0
18.0,0,0.0,0.0,0,0
19.0,0,0.0,0.0,0,0
20.0,0,0.0,0.0,0,0
21.0,0,0.0,0.0,0,0
22.0,0,0.0,0.0,0,0
23.0,0,0.0,0.0,0,0
24.0,0,0.0,0.0,0,0
25.0,0,0.0,0.0,0,0
26.0,0,0.0,0.0,0,0
27.0,2,2.0,2.0,1,0
28.0,3,3.0,5.0,1,1
29.0,2,2.0,7.0,1,1
30.0,0,0.0,7.0,1,1
31.0,0,0.0,7.0,1,1
32.0,2,2.0,9.0,1,1
33.0,3,3.0,12.0,1,1
34.0,2,2.0,14.0,2,1
35.0,3,3.0,17.0,2,1
36.0,3,3.0,20.0,2,2
37.0,4,4.0,24.0,3,2
38.0,4,4.0,28.0,3,2
39.0,4,4.0,32.0,3,2
40.0,4,4.0,36.0,3,2
41.0,4,4.0,40.0,4,2
42.0,4,4.0,44.0,4,2
43.0,4,4.0,48.0,4,3
44.0,4,4.0,52.0,4,3
45.0,4,4.0,56.0,5,3
46.0,4,4.0,60.0,5,3
47.0,4,4.0,64.0,5,3
48.0,4,4.0,68.0,5,3
49.0,4,4.0,72.0,5,3
50.0,4,4.0,76.0,5,3
51.0,4,5.0,81.0,5,3
52.0,4,4.0,85.0,5,3
53.0,4,4.0,89.0,5,4
54.0,4,4.0,93.0,5,4
55.0,4,4.0,97.0,5,4
56.0,5,5.0,102.0,5,4
57.0,6,6.0,108.0,5,4
58.0,5,5.0,113.0,5,4
59.0,6,6.0,119.0,5,4
60.0,6,6.0,125.0,6,4
61.0,6,6.0,131.0,6,4
62.0,6,6.0,137.0,6,4
63.0,6,6.0,143.0,6,4
