step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,0,0.0,0.0,0,0
16.0,0,0.0,0.0,0,0
17.0,0,0.0,0.0,0,0
18.0,0,0.0,0.0,0,0
19.0,0,0.0,0.0,0,0
20.0,0,0.0,0.0,0,0
21.0,0,0.0,0.0,0,0
22.0,0,0.0,0.0,0,0
23.0,0,0.0,0.0,0,0
24.0,0,0.0,0.0,0,0
25.0,0,0.0,0.0,1,0
26.0,0,0.0,0.0,1,0
27.0,0,0.0,0.0,1,1
28.0,0,0.0,0.0,1,1
29.0,1,1.0,1.0,1,1
30.0,2,2.0,3.0,1,1
31.0,2,2.0,5.0,2,1
32.0,3,3.0,8.0,2,1
33.0,4,4.0,12.0,2,1
34.0,4,4.0,16.0,2,2
35.0,4,4.0,20.0,2,2
36.0,3,3.0,23.0,2,2
37.0,4,4.0,27.0,2,2
38.0,4,4.0,31.0,3,2
39.0,4,4.0,35.0,3,2
40.0,4,4.0,39.0,3,2
41.0,4,4.0,43.0,3,2
42.0,4,4.0,47.0,3,2
43.0,4,4.0,51.0,3,3
44.0,4,4.0,55.0,4,3
45.0,4,4.0,59.0,4,3
46.0,4,4.0,63.0,4,3
47.0,4,4.0,67.0,5,3
48.0,4,4.0,71.0,5,3
49.0,4,4.0,75.0,5,3
50.0,4,4.0,79.0,5,3
51.0,4,4.0,83.0,5,3
52.0,4,4.0,87.0,6,3
53.0,4,4.0,91.0,6,3
54.0,4,4.0,95.0,6,3
55.0,4,4.0,99.0,6,3
56.0,4,4.0,103.0,6,3
57.0,4,4.0,107.0,7,4
58.0,4,4.0,111.0,7,4
59.0,4,4.0,115.0,7,4
60.0,7,7.0,122.0,7,4
61.0,6,6.0,128.0,7,5
62.0,7,7.0,135.0,7,5
63.0,6,6.0,141.0,7,5
