step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,0,0.0,0.0,0,0
16.0,0,0.0,0.0,0,0
17.0,0,0.0,0.0,0,0
18.0,0,0.0,0.0,0,0
19.0,0,0.0,0.0,0,0
20.0,0,0.0,0.0,0,0
21.0,0,0.0,0.0,0,0
22.0,0,0.0,0.0,0,0
23.0,0,0.0,0.0,1,0
24.0,0,0.0,0.0,1,0
25.0,0,0.0,0.0,1,0
26.0,0,0.0,0.0,1,1
27.0,0,0.0,0.0,1,1
28.0,2,2.0,2.0,2,1
29.0,3,3.0,5.0,2,1
30.0,4,4.0,9.0,2,1
31.0,4,4.0,13.0,2,1
32.0,4,4.0,17.0,2,1
33.0,4,4.0,21.0,2,2
34.0,4,4.0,25.0,2,2
35.0,4,4.0,29.0,3,2
36.0,4,4.0,33.0,3,2
37.0,4,4.0,37.0,3,2
38.0,4,4.0,41.0,3,2
39.0,4,4.0,45.0,3,2
40.0,4,4.0,49.0,3,2
41.0,4,4.0,53.0,3,2
42.0,4,4.0,57.0,3,2
43.0,4,4.0,61.0,3,3
44.0,4,4.0,65.0,3,3
45.0,4,4.0,69.0,4,3
46.0,4,4.0,73.0,4,3
47.0,4,4.0,77.0,5,3
48.0,4,4.0,81.0,5,3
49.0,4,4.0,85.0,5,3
50.0,4,4.0,89.0,5,3
51.0,4,4.0,93.0,5,3
52.0,4,4.0,97.0,6,3
53.0,4,4.0,101.0,6,4
54.0,4,4.0,105.0,6,4
55.0,4,4.0,109.0,6,4
56.0,4,4.0,113.0,6,4
57.0,4,4.0,117.0,6,4
58.0,4,4.0,121.0,6,4
59.0,5,5.0,126.0,7,5
60.0,7,7.0,133.0,7,5
61.0,6,6.0,139.0,7,5
62.0,6,6.0,145.0,8,5
63.0,6,6.0,151.0,8,5
