step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0.0,0.0,0,0
2.0,0,0.0,0.0,0,0
3.0,0,0.0,0.0,0,0
4.0,0,0.0,0.0,0,0
5.0,0,0.0,0.0,0,0
6.0,0,0.0,0.0,0,0
7.0,0,0.0,0.0,0,0
8.0,0,0.0,0.0,0,0
9.0,0,0.0,0.0,0,0
10.0,0,0.0,0.0,0,0
11.0,0,0.0,0.0,0,0
12.0,0,0.0,0.0,0,0
13.0,0,0.0,0.0,0,0
14.0,0,0.0,0.0,0,0
15.0,0,0.0,0.0,0,0
16.0,0,0.0,0.0,0,0
17.0,0,0.0,0.0,0,0
18.0,0,0.0,0.0,0,0
19.0,0,0.0,0.0,0,0
20.0,0,0.0,0.0,0,0
21.0,0,0.0,0.0,0,0
22.0,0,0.0,0.0,0,0
23.0,0,0.0,0.0,0,0
24.0,0,0.0,0.0,0,0
25.0,0,0.0,0.0,0,0
26.0,0,0.0,0.0,1,0
27.0,0,0.0,0.0,1,1
28.0,3,3.0,3.0,2,1
29.0,3,3.0,6.0,2,1
30.0,4,4.0,10.0,2,1
31.0,4,4.0,14.0,2,1
32.0,4,4.0,18.0,2,2
33.0,4,4.0,22.0,2,2
34.0,4,4.0,26.0,2,2
35.0,4,4.0,30.0,2,2
36.0,4,4.0,34.0,2,2
37.0,4,4.0,38.0,2,2
38.0,4,4.0,42.0,2,2
39.0,4,4.0,46.0,2,2
40.0,4,4.0,50.0,3,2
41.0,4,4.0,54.0,3,2
42.0,4,4.0,58.0,4,2
43.0,4,4.0,62.0,4,2
44.0,4,4.0,66.0,4,3
45.0,4,4.0,70.0,4,3
46.0,4,4.0,74.0,5,3
47.0,4,4.0,78.0,5,3
48.0,4,4.0,82.0,5,3
49.0,4,4.0,86.0,5,3
50.0,4,4.0,90.0,6,3
51.0,4,4.0,94.0,6,3
52.0,4,4.0,98.0,6,4
53.0,4,4.0,102.0,6,4
54.0,4,4.0,106.0,6,4
55.0,4,4.0,110.0,6,4
56.0,6,6.0,116.0,6,4
57.0,6,6.0,122.0,6,4
58.0,7,7.0,129.0,6,4
59.0,7,7.0,136.0,6,4
60.0,8,8.0,144.0,7,4
61.0,7,7.0,151.0,7,4
62.0,7,7.0,158.0,7,4
63.0,8,8.0,166.0,8,4
